"","cronology","gender","N","score","sd","se","ci"
"1","()

  Beginning","Female",2700,0.359833333333333,1.0475834371539,0.02016075264798,0.0395320770882286
"2","()

  Beginning","Male",8538,0.29893417662216,0.977192485722932,0.0105755276122079,0.0207305923866393
"3","(2)

  ...","Female",2761,0.303730532415791,1.14650249111963,0.0218193495277726,0.0427839014636801
"4","(2)

  ...","Male",8645,0.26288027761712,0.979403715663916,0.0105336588404206,0.0206484832224042
"5","(3)

  Middle","Female",2764,0.32921490593343,1.07774150192323,0.0204996094785413,0.0401961045203582
"6","(3)

  Middle","Male",8668,0.314703507152746,1.03151553159097,0.0110794019957095,0.0217182618753825
"7","(4)

  ...","Female",2761,0.431944947482796,1.14085565009752,0.0217118832126589,0.0425731789473816
"8","(4)

  ...","Male",8645,0.340624638519375,0.997133073786293,0.0107243411984043,0.0210222661148713
"9","(5)

  End","Female",2820,0.585,1.19368690853819,0.0224784249247514,0.0440758275223192
"10","(5)

  End","Male",8776,0.464243391066545,1.02232011289648,0.0109128603540378,0.0213917638918778
